ref_name,rx_name,control_iso_name,iso_name,ordinal_number,section,fold_cmp,fold,inhibition_pcnt,resistance_level,ineffective,cumulative_count,assay,date_added
Wang21d,Etesevimab,Wildtype,P.1 Spike,1,Fig.1a;Figure S2,>,9999,0,NULL,experimental,1,NULL,2021-03-03
Wang21d,Bamlanivimab,Wildtype,P.1 Spike,1,Fig.1a;Figure S2,>,9999,0,NULL,experimental,1,NULL,2021-03-03
Wang21d,2-15,Wildtype,P.1 Spike,1,Fig.1a;Figure S2,>,9999,0,NULL,experimental,1,NULL,2021-03-03
Wang21d,C121,Wildtype,P.1 Spike,1,Fig.1a;Figure S2,>,9999,0,NULL,experimental,1,NULL,2021-03-03
Wang21d,5-7,Wildtype,P.1 Spike,1,Fig.1a;Figure S2,>,9999,0,NULL,experimental,1,NULL,2021-03-03
Wang21d,2-17,Wildtype,P.1 Spike,1,Fig.1a;Figure S2,>,9999,0,NULL,experimental,1,NULL,2021-03-03
Wang21d,2-17,Wildtype,S:138Y,1,Fig.1a;Figure S2,>,9999,0,NULL,experimental,1,NULL,2021-03-03
Wang21d,4-19,Wildtype,P.1 Spike,1,Fig.1a;Figure S2,>,9999,0,NULL,experimental,1,NULL,2021-03-03
Wang21d,4-19,Wildtype,S:18F,1,Fig.1a;Figure S2,>,9999,0,NULL,experimental,1,NULL,2021-03-03
Wang21d,4-19,Wildtype,S:138Y,1,Fig.1a;Figure S2,>,9999,0,NULL,experimental,1,NULL,2021-03-03
Wang21d,4-18,Wildtype,P.1 Spike,1,Fig.1a;Figure S2,>,1000,0,NULL,experimental,1,NULL,2021-03-03
