ref_name,doi,url,first_author,year,date_added,date_updated
Baum20,10.1126/science.abd0831,NULL,"Baum, A",2020,2020-06-23,NULL
Liu20e,10.1038/s41586-020-2571-7,NULL,"Liu, Lihong",2020,2020-07-09,NULL
Du20,10.1016/j.cell.2020.09.035,NULL,"Du, S",2020,2020-09-03,NULL
Weisblum20,10.7554/eLife.61312,NULL,"Weisblum, Y",2020,2020-11-04,NULL
Li20h,10.1016/j.cell.2020.07.012,NULL,"Li, Q",2020,2020-11-06,NULL
Liu21,10.1016/j.chom.2021.01.014,NULL,"Liu, Z",2021,2020-11-07,2021-02-01
Tortorici20,10.1126/science.abe3354,NULL,"Tortorici, MA",2020,2020-11-19,NULL
Greaney20,10.1016/j.chom.2020.11.007,NULL,"Greaney, AJ",2020,2020-11-22,NULL
Starr21,10.1126/science.abf9302,NULL,"Starr, TN",2021,2020-12-07,2021-01-30
McCallum21,10.1101/2021.01.14.426475,NULL,"McCallum, M",2021,2021-01-16,NULL
Avanzato20,10.1016/j.cell.2020.10.049,NULL,"Avanzato, VA",2020,2021-01-20,NULL
Choi20,10.1056/NEJMc2031364,NULL,"Choi, B",2020,2021-01-20,NULL
Kemp20,10.1101/2020.12.14.422555,NULL,"Kemp, S",2020,2021-01-20,NULL
Khatamzas21,10.1101/2021.01.10.20248871,NULL,"Khatamzas, E",2021,2021-01-20,NULL
Gottlieb21,10.1001/jama.2021.0202,NULL,"Gottlieb, RL",2021,2021-01-22,NULL
Andreano20b,10.1101/2020.12.28.424451,NULL,"Andreano, E",2020,2021-01-27,NULL
Bazykin21,NULL,https://virological.org/t/580,"Bazykin, GA",2021,2021-01-27,NULL
Collier21,10.1101/2021.01.19.21249840,NULL,"Collier,D",2021,2021-01-27,NULL
Greaney21,10.1016/j.chom.2021.02.003,NULL,"Greaney, AJ",2021,2021-01-27,NULL
Hu21,10.1101/2021.01.22.427749,NULL,"Hu, J",2021,2021-01-27,NULL
Muik21,10.1126/science.abg6105,NULL,"Muik, A",2021,2021-02-09,NULL
Rees-Spear21,10.1101/2021.01.15.426849,NULL,"Rees-Spear, C",2021,2021-01-27,NULL
Wang21,10.1101/2021.01.15.426911,NULL,"Wang, Z",2021,2021-01-27,NULL
Wang21b,10.1101/2021.01.25.428137,NULL,"Wang, P",2021,2021-01-27,NULL
Wibmer21,10.1101/2021.01.18.427166,NULL,"Wibmer, CK",2021,2021-01-27,NULL
Wu21,10.1101/2021.01.25.427948,NULL,"Wu, K",2021,2021-01-27,NULL
Xie21,10.1101/2021.01.07.425740,NULL,"Xie, X",2021,2021-01-27,NULL
Sahin20,10.1038/s41586-020-2814-7,NULL,"Sahin,U",2020,2021-01-28,NULL
Xie21b,10.1038/s41591-021-01270-4,NULL,"Xie, X",2021,2021-01-29,NULL
Shen21,10.1101/2021.01.27.428516,NULL,"Shen, X",2021,2021-01-29,NULL
Dong21,10.1101/2021.01.27.428529,NULL,"Dong, J",2021,2021-01-29,NULL
Jangra21,10.1101/2021.01.26.21250543,NULL,"Jangra, S",2021,2021-01-29,NULL
Rothenberger21,10.1101/2021.02.03.429164,NULL,"Rothenberger, S",2021,2021-02-04,NULL
Huang21,10.1101/2021.02.01.429069,NULL,"Huang, B",2021,2021-02-04,NULL
Edara21,10.1101/2021.02.02.21250799,NULL,"Edara, VV",2021,2021-02-05,NULL
Yao21,10.1101/2021.01.27.428353,NULL,"Yao, W",2021,2021-02-07,NULL
Tada21,10.1101/2021.02.05.430003,NULL,"Tada, T",2021,2021-02-07,NULL
Stamatatos21,10.1101/2021.02.05.21251182,NULL,"Stamatatos, L",2021,2021-02-08,NULL
Kemp21,10.1038/s41586-021-03291-y,NULL,"Kemp, SA",2021,2021-02-08,NULL
Gu21,10.1101/2021.02.07.429299,NULL,"Gu, C",2021,2021-02-08,2021-02-08
Cele21,10.1101/2021.01.26.21250224,NULL,"Cele, S",2021,2021-02-10,NULL
Hoffmann21,10.1101/2021.02.11.430787,NULL,"Hoffmann, M",2021,2021-02-12,NULL
Planas21,10.1101/2021.02.12.430472,NULL,"Planas, D",2021,2021-02-16,NULL
Hoffmann21b,10.1101/2021.02.12.430998,NULL,"Hoffmann, M",2021,2021-02-17,NULL
