iso_name,var_name,site_directed,gisaid_id,genbank_accn,expandable
hCoV-19/Spain/CT-ISCIII-2017689/2020,B.1,FALSE,EPI_ISL_8725398,NULL,TRUE
hCoV-19/Spain/CT-ISCIII-2017690/2020,B.1,FALSE,EPI_ISL_8725399,NULL,TRUE
hCoV-19/Spain/CT-ISCIII-2017691/2020,B.1,FALSE,EPI_ISL_8725400,NULL,TRUE
hCoV-19/Spain/CT-ISCIII-2017692/2020,B.1,FALSE,EPI_ISL_8725401,NULL,TRUE
hCoV-19/Spain/CT-ISCIII-2017693/2020,B.1,FALSE,EPI_ISL_8725402,NULL,TRUE
hCoV-19/Spain/CT-ISCIII-2017694/2020,B.1,FALSE,EPI_ISL_8725403,NULL,TRUE
hCoV-19/Spain/CT-ISCIII-2017695/2020,B.1,FALSE,EPI_ISL_8725404,NULL,TRUE
hCoV-19/Spain/CT-ISCIII-2017696/2020,B.1,FALSE,EPI_ISL_8725405,NULL,TRUE
hCoV-19/Spain/CT-ISCIII-2017697/2020,B.1,FALSE,EPI_ISL_8725406,NULL,TRUE
hCoV-19/Spain/CT-ISCIII-2017698/2020,B.1,FALSE,EPI_ISL_8725407,NULL,TRUE
hCoV-19/Spain/CT-ISCIII-2017699/2020,B.1,FALSE,EPI_ISL_8725408,NULL,TRUE
hCoV-19/Spain/CT-ISCIII-2017700/2020,B.1,FALSE,EPI_ISL_8725409,NULL,TRUE
