iso_name,var_name,site_directed,gisaid_id,genbank_accn,sra_accn,expandable
Gilga22_PT1_D0,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT1_D7,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT1_D14,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT2_D0,Omicron/BA.1.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT2_D7,Omicron/BA.1.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT2_D14,Omicron/BA.1.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT3_D0,Omicron/BA.2,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT3_D7,Omicron/BA.2,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT3_D14,Omicron/BA.2,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT10_D0,Omicron/BA.1.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT10_D7,Omicron/BA.1.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT10_D14,Omicron/BA.1.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT10_D21,Omicron/BA.1.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT10_D28,Omicron/BA.1.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT13_D0,Omicron/BA.1.13,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT13_D7,Omicron/BA.1.13,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT16_D0,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT16_D7,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT16_D14,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT23_D0,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT23_D7,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT23_D14,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT30_D0,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT30_D7,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT30_D14,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT30_D21,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT31_D0,Omicron/BA.1.18,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT31_D7,Omicron/BA.1.18,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT31_D14,Omicron/BA.1.18,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT31_D21,Omicron/BA.1.18,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT40_D0,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT40_D7,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT51_D0,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT51_D7,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT51_D14,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT51_D21,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT53_D0,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT53_D7,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT53_D14,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT56_D0,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT56_D7,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT56_D14,Omicron/BA.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT63_D0,Omicron/BA.1.1,FALSE,NULL,NULL,NULL,TRUE
Gilga22_PT63_D14,Omicron/BA.1.1,FALSE,NULL,NULL,NULL,TRUE
