ref_name,control_iso_name,iso_name
EMA21e,Wuhan-Hu-1,B.1.1.7 Spike
EMA21e,Wuhan-Hu-1,B.1.351 Spike
EMA21e,Wuhan-Hu-1,P.1 Spike
EMA21e,Wuhan-Hu-1,B.1.617.2 Spike
EMA21e,Wuhan-Hu-1,B.1.617.2 Spike:+417N
EMA21e,Wuhan-Hu-1,BA.1 Spike
EMA21e,Wuhan-Hu-1,BA.1.1 Spike
EMA21e,Wuhan-Hu-1,BA.2 Spike
EMA21e,Wuhan-Hu-1,B.1.525 Spike
EMA21e,Wuhan-Hu-1,B.1.526/E484K Spike
EMA21e,Wuhan-Hu-1,B.1.617.1 Spike
EMA21e,Wuhan-Hu-1,C.37 Spike
EMA21e,Wuhan-Hu-1,B.1.621 Spike
EMA21e,Wuhan-Hu-1,B.1.427/9 Spike
EMA21e,Wuhan-Hu-1,R.1 Spike
EMA21e,Wuhan-Hu-1,B.1.1.519 Spike
EMA21e,Wuhan-Hu-1,S:12F+69del+70del+152R+346S+452R+614G+677H+899S
EMA21e,Wuhan-Hu-1,S:214ins+414K+450K+614G+716I
EMA21e,Wuhan-Hu-1,B.1.619.1 Spike
EMA21e,Wuhan-Hu-1,P.2 Spike
EMA21e,Wuhan-Hu-1,B.1.616 Spike
EMA21e,Wuhan-Hu-1,A.23.1 Spike
EMA21e,Wuhan-Hu-1,A.27 Spike
EMA21e,Wuhan-Hu-1,AV.1 Spike
EMA21e,Wuhan-Hu-1,B.1.1.7 full genome
EMA21e,Wuhan-Hu-1,B.1.351 full genome
EMA21e,Wuhan-Hu-1,P.1 full genome
EMA21e,Wuhan-Hu-1,B.1.617.2 full genome
EMA21e,Wuhan-Hu-1,Omicron/BA.1 full genome
EMA21e,Wuhan-Hu-1,Omicron/BA.1.1 full genome
EMA21e,Wuhan-Hu-1,Omicron/BA.2 full genome
EMA21e,Wuhan-Hu-1,B.1.526 full genome/E484K
EMA21e,Wuhan-Hu-1,B.1.617.1 full genome
EMA21e,Wuhan-Hu-1,B.1.427 full genome
