ref_name,rx_name,control_iso_name,iso_name,section,assay_name,potency_type,fold_cmp,fold,resistance_level,ineffective,cumulative_count,date_added
Wilhelm21,CP,FFM1,MZ315140,Figure 1A,Virus isolate,NT50,=,4.44,NULL,NULL,10,2021-08-31
Wilhelm21,CP,FFM1,MZ315141,Figure 1A,Virus isolate,NT50,=,3.64,NULL,NULL,10,2021-08-31
Wilhelm21,CP,FFM1,MZ317895,Figure 1A,Virus isolate,NT50,=,1.9,NULL,NULL,10,2021-08-31
Wilhelm21,CP,FFM1,MZ317896.2,Figure 1A,Virus isolate,NT50,=,2.11,NULL,NULL,10,2021-08-31
Wilhelm21,CP,FFM7,MZ315140,Figure 1A,Virus isolate,NT50,=,5.71,NULL,NULL,10,2021-08-31
Wilhelm21,CP,FFM7,MZ315141,Figure 1A,Virus isolate,NT50,=,3.64,NULL,NULL,10,2021-08-31
Wilhelm21,CP,FFM7,MZ317895,Figure 1A,Virus isolate,NT50,=,1.74,NULL,NULL,10,2021-08-31
Wilhelm21,CP,FFM7,MZ317896.2,Figure 1A,Virus isolate,NT50,=,2.35,NULL,NULL,10,2021-08-31
Wilhelm21,BNT162b2,FFM1,MZ315140,Figure 1B,Virus isolate,NT50,=,3.66,NULL,NULL,8,2021-08-31
Wilhelm21,BNT162b2,FFM1,MZ315141,Figure 1B,Virus isolate,NT50,=,3.51,NULL,NULL,8,2021-08-31
Wilhelm21,BNT162b2,FFM1,MZ317895,Figure 1B,Virus isolate,NT50,=,2.61,NULL,NULL,8,2021-08-31
Wilhelm21,BNT162b2,FFM1,MZ317896.2,Figure 1B,Virus isolate,NT50,=,3.66,NULL,NULL,8,2021-08-31
Wilhelm21,BNT162b2,FFM7,MZ315140,Figure 1B,Virus isolate,NT50,=,1.78,NULL,NULL,8,2021-08-31
Wilhelm21,BNT162b2,FFM7,MZ315141,Figure 1B,Virus isolate,NT50,=,2.25,NULL,NULL,8,2021-08-31
Wilhelm21,BNT162b2,FFM7,MZ317895,Figure 1B,Virus isolate,NT50,=,1.36,NULL,NULL,8,2021-08-31
Wilhelm21,BNT162b2,FFM7,MZ317896.2,Figure 1B,Virus isolate,NT50,=,1.78,NULL,NULL,8,2021-08-31
Wilhelm21,mRNA-1273,FFM1,MZ315140,Figure 1B,Virus isolate,NT50,=,3.64,NULL,NULL,10,2021-08-31
Wilhelm21,mRNA-1273,FFM1,MZ315141,Figure 1B,Virus isolate,NT50,=,3.48,NULL,NULL,10,2021-08-31
Wilhelm21,mRNA-1273,FFM1,MZ317895,Figure 1B,Virus isolate,NT50,=,1.76,NULL,NULL,10,2021-08-31
Wilhelm21,mRNA-1273,FFM1,MZ317896.2,Figure 1B,Virus isolate,NT50,=,1.86,NULL,NULL,10,2021-08-31
Wilhelm21,mRNA-1273,FFM7,MZ315140,Figure 1B,Virus isolate,NT50,=,2.16,NULL,NULL,10,2021-08-31
Wilhelm21,mRNA-1273,FFM7,MZ315141,Figure 1B,Virus isolate,NT50,=,2,NULL,NULL,10,2021-08-31
Wilhelm21,mRNA-1273,FFM7,MZ317895,Figure 1B,Virus isolate,NT50,=,1.1,NULL,NULL,10,2021-08-31
Wilhelm21,mRNA-1273,FFM7,MZ317896.2,Figure 1B,Virus isolate,NT50,=,1.06,NULL,NULL,10,2021-08-31
