ref_name,rx_name,control_iso_name,iso_name,ordinal_number,section,fold_cmp,fold,potency_type,resistance_level,ineffective,cumulative_count,assay_name,date_added
Dejnirattisai21,Cilgavimab,Wuhan-Hu-1,P.1 full genome,1,"TableS2, Figure 3",=,0.5,IC50,NULL,NULL,1,authentic virus,2021-03-17
Dejnirattisai21,Tixagevimab,Wuhan-Hu-1,P.1 full genome,1,"TableS2, Figure 3",=,8.8,IC50,NULL,NULL,1,authentic virus,2021-03-17
Dejnirattisai21,AZD7442,Wuhan-Hu-1,P.1 full genome,1,"TableS2, Figure 3",=,0.7,IC50,NULL,NULL,1,authentic virus,2021-03-17
Dejnirattisai21,Imdevimab,Wuhan-Hu-1,P.1 full genome,1,"TableS2, Figure 3",=,0.4,IC50,NULL,NULL,1,authentic virus,2021-03-17
Dejnirattisai21,Casirivimab,Wuhan-Hu-1,P.1 full genome,1,"TableS2, Figure 3",=,1455.2,IC50,NULL,NULL,1,authentic virus,2021-03-17
Dejnirattisai21,ADG10,Wuhan-Hu-1,P.1 full genome,1,"TableS2, Figure 3",=,0.5,IC50,NULL,NULL,1,authentic virus,2021-03-17
Dejnirattisai21,ADG20,Wuhan-Hu-1,P.1 full genome,1,"TableS2, Figure 3",=,2.2,IC50,NULL,NULL,1,authentic virus,2021-03-17
Dejnirattisai21,ADG30,Wuhan-Hu-1,P.1 full genome,1,"TableS2, Figure 3",=,0.3,IC50,NULL,NULL,1,authentic virus,2021-03-17
Dejnirattisai21,Bamlanivimab,Wuhan-Hu-1,P.1 full genome,1,"TableS2, Figure 3",>,1545.3,IC50,NULL,NULL,1,authentic virus,2021-03-17
Dejnirattisai21,Etesevimab,Wuhan-Hu-1,P.1 full genome,1,"TableS2, Figure 3",>,291.2,IC50,NULL,NULL,1,authentic virus,2021-03-17
Dejnirattisai21,Vir-7831,Wuhan-Hu-1,P.1 full genome,1,"TableS2, Figure 3",=,1.9,IC50,NULL,NULL,1,authentic virus,2021-03-17
Dejnirattisai21,CP,Wuhan-Hu-1,P.1 full genome,1,"Figure 6A,TableS3A",=,2.5,IC50,NULL,NULL,1,authentic virus,2021-03-17
Dejnirattisai21,CP,Wuhan-Hu-1,P.1 full genome,2,"Figure 6A,TableS3A",=,14.2,IC50,NULL,NULL,1,authentic virus,2021-03-17
Dejnirattisai21,CP,Wuhan-Hu-1,P.1 full genome,3,"Figure 6A,TableS3A",=,3,IC50,NULL,NULL,1,authentic virus,2021-03-17
Dejnirattisai21,CP,Wuhan-Hu-1,P.1 full genome,4,"Figure 6A,TableS3A",=,1.1,IC50,NULL,NULL,1,authentic virus,2021-03-17
Dejnirattisai21,CP,Wuhan-Hu-1,P.1 full genome,5,"Figure 6A,TableS3A",=,3.5,IC50,NULL,NULL,1,authentic virus,2021-03-17
Dejnirattisai21,CP,Wuhan-Hu-1,P.1 full genome,6,"Figure 6A,TableS3A",=,2.3,IC50,NULL,NULL,1,authentic virus,2021-03-17
Dejnirattisai21,CP,Wuhan-Hu-1,P.1 full genome,7,"Figure 6A,TableS3A",=,3.4,IC50,NULL,NULL,1,authentic virus,2021-03-17
