ref_name,rx_name,control_variant_name,variant_name,ordinal_number,section,fold_cmp,fold,inhibition_pcnt,resistance_level,ineffective,cumulative_count,assay,date_added
Supasa21,Cilgavimab,Wildtype,B.1.1.7 full genome,1,Figure 4B + Dejnirattisai21,=,0.9,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,Tixagevimab,Wildtype,B.1.1.7 full genome,1,Figure 4B + Dejnirattisai21,=,2.2,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,AZD7442,Wildtype,B.1.1.7 full genome,1,Figure 4B + Dejnirattisai21,=,0.8,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,Imdevimab,Wildtype,B.1.1.7 full genome,1,Figure 4B + Dejnirattisai21,=,0.9,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,Casirivimab,Wildtype,B.1.1.7 full genome,1,Figure 4B + Dejnirattisai21,=,3.3,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,ADG10,Wildtype,B.1.1.7 full genome,1,Figure 4B + Dejnirattisai21,=,1.8,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,ADG20,Wildtype,B.1.1.7 full genome,1,Figure 4B + Dejnirattisai21,=,1.4,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,ADG30,Wildtype,B.1.1.7 full genome,1,Figure 4B + Dejnirattisai21,=,2.5,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,Bamlanivimab,Wildtype,B.1.1.7 full genome,1,Figure 4B + Dejnirattisai21,=,1.5,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,Etesevimab,Wildtype,B.1.1.7 full genome,1,Figure 4B + Dejnirattisai21,=,1.5,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,Vir-7831,Wildtype,B.1.1.7 full genome,1,Figure 4B + Dejnirattisai21,=,1.5,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,CP,Wildtype,B.1.1.7 full genome,1,Figure 5A,=,5.5,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,CP,Wildtype,B.1.1.7 full genome,2,Figure 5A,=,1.9,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,CP,Wildtype,B.1.1.7 full genome,3,Figure 5A,=,2.2,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,CP,Wildtype,B.1.1.7 full genome,4,Figure 5A,=,1.7,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,CP,Wildtype,B.1.1.7 full genome,5,Figure 5A,=,3.3,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,CP,Wildtype,B.1.1.7 full genome,6,Figure 5A,=,1.0,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,CP,Wildtype,B.1.1.7 full genome,7,Figure 5A,=,1.3,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,CP,Wildtype,B.1.1.7 full genome,8,Figure 5A,=,1.1,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,CP,Wildtype,B.1.1.7 full genome,9,Figure 5A,=,2.2,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,CP,Wildtype,B.1.1.7 full genome,10,Figure 5A,=,2.5,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,CP,Wildtype,B.1.1.7 full genome,11,Figure 5A,=,2.2,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,CP,Wildtype,B.1.1.7 full genome,12,Figure 5A,=,1.9,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,CP,Wildtype,B.1.1.7 full genome,13,Figure 5A,=,4.3,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,CP,Wildtype,B.1.1.7 full genome,14,Figure 5A,=,4.3,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,CP,Wildtype,B.1.1.7 full genome,15,Figure 5A,=,3.3,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,CP,Wildtype,B.1.1.7 full genome,16,Figure 5A,=,3.7,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,CP,Wildtype,B.1.1.7 full genome,17,Figure 5A,=,2.9,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,CP,Wildtype,B.1.1.7 full genome,18,Figure 5A,=,1.5,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,CP,Wildtype,B.1.1.7 full genome,19,Figure 5A,=,1.7,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,CP,Wildtype,B.1.1.7 full genome,20,Figure 5A,=,4.3,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,CP,Wildtype,B.1.1.7 full genome,21,Figure 5A,=,7.2,0,NULL,NULL,1,authentic virus,2021-03-15
Supasa21,CP,Wildtype,B.1.1.7 full genome,22,Figure 5A,=,2.2,0,NULL,NULL,1,authentic virus,2021-03-15
