ref_name,rx_name
Aggarwal21,Sotrovimab
Aggarwal21,Casirivimab
Aggarwal21,Imdevimab
Aggarwal21,Bamlanivimab
Aggarwal21,Cilgavimab
Aggarwal21,Tixagevimab
Aggarwal21,Ab-3467
Andreano21,B07
Andreano21,C14
Andreano21,D14
Andreano21,F05
Andreano21,F10
Andreano21,F20
Andreano21,G12
Andreano21,H20
Andreano21,I14
Andreano21,I15
Andreano21,I21
Andreano21,J13
Andreano21,J08
Annavajhala21b,REGN10933
Annavajhala21b,REGN10987
Annavajhala21b,LY-CoV555
Annavajhala21b,LY-CoV016
Annavajhala21b,S309
Annavajhala21b,COV2-2196
Annavajhala21b,COV2-2130
Annavajhala21b,1-57
Annavajhala21b,2-7
Annavajhala21b,2-15
Annavajhala21b,2-36
Annavajhala21b,C121
Arora21,Casirivimab
Arora21,Imdevimab
Arora21,Bamlanivimab
Arora21,Etesevimab
Arora21b,Casirivimab
Arora21b,Imdevimab
Arora21b,Bamlanivimab
Arora21b,Etesevimab
AstraZenica21c,AZD8895
AstraZenica21c,AZD1061
AstraZenica21c,AZD7442
Baum20,REGN10989_Table1
Baum20,REGN10987_Table1
Baum20,REGN10933_Table1
Baum20,REGN10934_Table1
Baum20,REGN10964
Baum20,REGN10954
Baum20,REGN10984
Baum20,REGN10986
Baum20,REGN10989
Baum20,REGN10987
Baum20,REGN10933
Baum20,REGN10934
Baum20,REGN10933/10987
Baum20,REGN10989/10934
Baum20,REGN10989/10987
Bloom21,2B04
Bloom21,2C02
Bloom21,2C03
Bloom21,2E06
Boschi22,BAM
Boschi22,ETE
Boschi22,BAM+ETE
Boschi22,CAS
Boschi22,IMD
Boschi22,REGN-COV-2
Bronstein21,Bamlanivimab
Cameroni21,Sotrovimab
Cameroni21,Vir-7832
Cameroni21,Regdanvimab
Cameroni21,Cilgavimab
Cameroni21,Tixagevimab
Cameroni21,Casirivimab
Cameroni21,Imdevimab
Cameroni21,Bamlanivimab
Cameroni21,Etesevimab
Cameroni21,CIL+TIX
Cameroni21,CAS+IMD
Cameroni21,BAM+ETE
Cameroni21,S2D106
Cameroni21,S2D8
Cameroni21,S2D97
Cameroni21,S2E12
Cameroni21,S2H14
Cameroni21,S2H19
Cameroni21,S2H58
Cameroni21,S2H7
Cameroni21,S2H70
