ref_name,rx_name,iso_name,section,assay_name,potency_type,potency,cumulative_count,potency_upper_limit,potency_lower_limit,potency_unit,date_added
Uriu23b,monovalent_3dose,B.1 Spike,Figure 1E,Pseudovirus (lentivirus),NT50,2002,15,100000,40,NULL,2023-10-03
Uriu23b,monovalent_3dose,BA.2 Spike,Figure 1E,Pseudovirus (lentivirus),NT50,446,15,100000,40,NULL,2023-10-03
Uriu23b,monovalent_3dose,EG.5.1 Spike,Figure 1E,Pseudovirus (lentivirus),NT50,44,15,100000,40,NULL,2023-10-03
Uriu23b,monovalent_3dose,BA.2.86 Spike,Figure 1E,Pseudovirus (lentivirus),NT50,48,15,100000,40,NULL,2023-10-03
Uriu23b,monovalent_4dose,B.1 Spike,Figure 1F,Pseudovirus (lentivirus),NT50,3203,15,100000,40,NULL,2023-10-03
Uriu23b,monovalent_4dose,BA.2 Spike,Figure 1F,Pseudovirus (lentivirus),NT50,893,15,100000,40,NULL,2023-10-03
Uriu23b,monovalent_4dose,EG.5.1 Spike,Figure 1F,Pseudovirus (lentivirus),NT50,55,15,100000,40,NULL,2023-10-03
Uriu23b,monovalent_4dose,BA.2.86 Spike,Figure 1F,Pseudovirus (lentivirus),NT50,72,15,100000,40,NULL,2023-10-03
Uriu23b,BA1_bivalent,B.1 Spike,Figure 1H,Pseudovirus (lentivirus),NT50,2031,21,100000,40,NULL,2023-10-03
Uriu23b,BA1_bivalent,BA.2 Spike,Figure 1H,Pseudovirus (lentivirus),NT50,394,21,100000,40,NULL,2023-10-03
Uriu23b,BA1_bivalent,EG.5.1 Spike,Figure 1H,Pseudovirus (lentivirus),NT50,41,21,100000,40,NULL,2023-10-03
Uriu23b,BA1_bivalent,BA.2.86 Spike,Figure 1H,Pseudovirus (lentivirus),NT50,49,21,100000,40,NULL,2023-10-03
Uriu23b,BA5_bivalent,B.1 Spike,Figure 1I,Pseudovirus (lentivirus),NT50,3813,13,100000,40,NULL,2023-10-03
Uriu23b,BA5_bivalent,BA.2 Spike,Figure 1I,Pseudovirus (lentivirus),NT50,1008,13,100000,40,NULL,2023-10-03
Uriu23b,BA5_bivalent,EG.5.1 Spike,Figure 1I,Pseudovirus (lentivirus),NT50,54,13,100000,40,NULL,2023-10-03
Uriu23b,BA5_bivalent,BA.2.86 Spike,Figure 1I,Pseudovirus (lentivirus),NT50,63,13,100000,40,NULL,2023-10-03
Uriu23b,XBB_BTI,B.1 Spike,Figure 1K,Pseudovirus (lentivirus),NT50,2724,15,100000,40,NULL,2023-10-03
Uriu23b,XBB_BTI,BA.2 Spike,Figure 1K,Pseudovirus (lentivirus),NT50,1896,15,100000,40,NULL,2023-10-03
Uriu23b,XBB_BTI,EG.5.1 Spike,Figure 1K,Pseudovirus (lentivirus),NT50,443,15,100000,40,NULL,2023-10-03
Uriu23b,XBB_BTI,BA.2.86 Spike,Figure 1K,Pseudovirus (lentivirus),NT50,310,15,100000,40,NULL,2023-10-03
Uriu23b,Bebtelovimab,B.1 Spike,Figure 1J,Pseudovirus (lentivirus),IC50,5500,1,5000000,1,ng/ml,2023-10-03
Uriu23b,Sotrovimab,B.1 Spike,Figure 1J,Pseudovirus (lentivirus),IC50,200000,1,5000000,1,ng/ml,2023-10-03
Uriu23b,Cilgavimab,B.1 Spike,Figure 1J,Pseudovirus (lentivirus),IC50,31000,1,5000000,1,ng/ml,2023-10-03
Uriu23b,Tixagevimab,B.1 Spike,Figure 1J,Pseudovirus (lentivirus),IC50,4600,1,5000000,1,ng/ml,2023-10-03
Uriu23b,Evusheld,B.1 Spike,Figure 1J,Pseudovirus (lentivirus),IC50,5400,1,5000000,1,ng/ml,2023-10-03
Uriu23b,Bebtelovimab,BA.2 Spike,Figure 1J,Pseudovirus (lentivirus),IC50,1400,1,5000000,1,ng/ml,2023-10-03
Uriu23b,Sotrovimab,BA.2 Spike,Figure 1J,Pseudovirus (lentivirus),IC50,1507000,1,5000000,1,ng/ml,2023-10-03
Uriu23b,Cilgavimab,BA.2 Spike,Figure 1J,Pseudovirus (lentivirus),IC50,37000,1,5000000,1,ng/ml,2023-10-03
