ref_name,rx_name,iso_name,section,assay_name,potency_type,potency,cumulative_count,potency_upper_limit,potency_lower_limit,potency_unit,date_added
Lasrado23,mRNA_monovalent_3dose,B.1 Spike,Figure 1B,Pseudovirus (lentivirus),NT50,5015,30,1000000,20,NULL,2023-02-15
Lasrado23,mRNA_monovalent_3dose,BA.2 Spike,Figure 1B,Pseudovirus (lentivirus),NT50,118,30,1000000,20,NULL,2023-02-15
Lasrado23,mRNA_monovalent_3dose,BA.5 Spike,Figure 1B,Pseudovirus (lentivirus),NT50,104,30,1000000,20,NULL,2023-02-15
Lasrado23,mRNA_monovalent_3dose,BQ.1.1 Spike,Figure 1B,Pseudovirus (lentivirus),NT50,59,30,1000000,20,NULL,2023-02-15
Lasrado23,mRNA_monovalent_3dose,XBB.1 Spike,Figure 1B,Pseudovirus (lentivirus),NT50,46,30,1000000,20,NULL,2023-02-15
Lasrado23,mRNA_monovalent_3dose,XBB.1.5 Spike,Figure 1B,Pseudovirus (lentivirus),NT50,74,30,1000000,20,NULL,2023-02-15
Lasrado23,mRNA_bivalent_4dose_3wks,B.1 Spike,Figure 1B,Pseudovirus (lentivirus),NT50,25954,30,1000000,20,NULL,2023-02-15
Lasrado23,mRNA_bivalent_4dose_3wks,BA.2 Spike,Figure 1B,Pseudovirus (lentivirus),NT50,5318,30,1000000,20,NULL,2023-02-15
Lasrado23,mRNA_bivalent_4dose_3wks,BA.5 Spike,Figure 1B,Pseudovirus (lentivirus),NT50,2285,30,1000000,20,NULL,2023-02-15
Lasrado23,mRNA_bivalent_4dose_3wks,BQ.1.1 Spike,Figure 1B,Pseudovirus (lentivirus),NT50,379,30,1000000,20,NULL,2023-02-15
Lasrado23,mRNA_bivalent_4dose_3wks,XBB.1 Spike,Figure 1B,Pseudovirus (lentivirus),NT50,125,30,1000000,20,NULL,2023-02-15
Lasrado23,mRNA_bivalent_4dose_3wks,XBB.1.5 Spike,Figure 1B,Pseudovirus (lentivirus),NT50,137,30,1000000,20,NULL,2023-02-15
Lasrado23,mRNA_bivalent_4dose_3months,B.1 Spike,Figure 1B,Pseudovirus (lentivirus),NT50,21804,30,1000000,20,NULL,2023-02-15
Lasrado23,mRNA_bivalent_4dose_3months,BA.2 Spike,Figure 1B,Pseudovirus (lentivirus),NT50,3996,30,1000000,20,NULL,2023-02-15
Lasrado23,mRNA_bivalent_4dose_3months,BA.5 Spike,Figure 1B,Pseudovirus (lentivirus),NT50,1241,30,1000000,20,NULL,2023-02-15
Lasrado23,mRNA_bivalent_4dose_3months,BQ.1.1 Spike,Figure 1B,Pseudovirus (lentivirus),NT50,142,30,1000000,20,NULL,2023-02-15
Lasrado23,mRNA_bivalent_4dose_3months,XBB.1 Spike,Figure 1B,Pseudovirus (lentivirus),NT50,59,30,1000000,20,NULL,2023-02-15
Lasrado23,mRNA_bivalent_4dose_3months,XBB.1.5 Spike,Figure 1B,Pseudovirus (lentivirus),NT50,76,30,1000000,20,NULL,2023-02-15
