ref_name,rx_name,iso_name,section,assay_name,potency_type,potency,cumulative_count,potency_upper_limit,potency_lower_limit,potency_unit,date_added
Wang23,CoronaVac_3dose_14d,B.1 Spike,Figure 2A,Pseudovirus (VSV),NT50,516,11,1000000,10,NULL,2023-02-16
Wang23,CoronaVac_3dose_14d,BA.2 Spike,Figure 2A,Pseudovirus (VSV),NT50,71,11,1000000,10,NULL,2023-02-16
Wang23,CoronaVac_3dose_14d,BA.2.75 Spike,Figure 2A,Pseudovirus (VSV),NT50,49,11,1000000,10,NULL,2023-02-16
Wang23,CoronaVac_3dose_14d,BA.2.75.2 Spike,Figure 2A,Pseudovirus (VSV),NT50,40,11,1000000,10,NULL,2023-02-16
Wang23,CoronaVac_3dose_14d,BA.2.75.6 Spike,Figure 2A,Pseudovirus (VSV),NT50,25,11,1000000,10,NULL,2023-02-16
Wang23,CoronaVac_3dose_14d,BN.1 Spike,Figure 2A,Pseudovirus (VSV),NT50,19,11,1000000,10,NULL,2023-02-16
Wang23,CoronaVac_3dose_14d,XBB.1 Spike,Figure 2A,Pseudovirus (VSV),NT50,18,11,1000000,10,NULL,2023-02-16
Wang23,CoronaVac_3dose_14d,XBB.1.5 Spike,Figure 2A,Pseudovirus (VSV),NT50,13,11,1000000,10,NULL,2023-02-16
Wang23,CoronaVac_3dose_14d,BA.4/5 Spike,Figure 2A,Pseudovirus (VSV),NT50,32,11,1000000,10,NULL,2023-02-16
Wang23,CoronaVac_3dose_14d,BA.5.2.7 Spike,Figure 2A,Pseudovirus (VSV),NT50,26,11,1000000,10,NULL,2023-02-16
Wang23,CoronaVac_3dose_14d,BA.4/5 Spike:K444T,Figure 2A,Pseudovirus (VSV),NT50,31,11,1000000,10,NULL,2023-02-16
Wang23,CoronaVac_3dose_14d,BF.7 Spike,Figure 2A,Pseudovirus (VSV),NT50,35,11,1000000,10,NULL,2023-02-16
Wang23,CoronaVac_3dose_14d,BA.4/5 Spike:+N450D,Figure 2A,Pseudovirus (VSV),NT50,28,11,1000000,10,NULL,2023-02-16
Wang23,CoronaVac_3dose_14d,BF.16 Spike,Figure 2A,Pseudovirus (VSV),NT50,23,11,1000000,10,NULL,2023-02-16
Wang23,CoronaVac_3dose_14d,BQ.1 Spike,Figure 2A,Pseudovirus (VSV),NT50,18,11,1000000,10,NULL,2023-02-16
Wang23,CoronaVac_3dose_14d,BQ.1.1 Spike,Figure 2A,Pseudovirus (VSV),NT50,19,11,1000000,10,NULL,2023-02-16
Wang23,CoronaVac_2dose_ZF2001_1dose_14d,B.1 Spike,Figure 2B,Pseudovirus (VSV),NT50,724,11,1000000,10,NULL,2023-02-16
Wang23,CoronaVac_2dose_ZF2001_1dose_14d,BA.2 Spike,Figure 2B,Pseudovirus (VSV),NT50,114,11,1000000,10,NULL,2023-02-16
Wang23,CoronaVac_2dose_ZF2001_1dose_14d,BA.2.75 Spike,Figure 2B,Pseudovirus (VSV),NT50,91,11,1000000,10,NULL,2023-02-16
Wang23,CoronaVac_2dose_ZF2001_1dose_14d,BA.2.75.2 Spike,Figure 2B,Pseudovirus (VSV),NT50,42,11,1000000,10,NULL,2023-02-16
Wang23,CoronaVac_2dose_ZF2001_1dose_14d,BA.2.75.6 Spike,Figure 2B,Pseudovirus (VSV),NT50,40,11,1000000,10,NULL,2023-02-16
