ref_name,rx_name,iso_name,section,assay_name,potency_type,potency,cumulative_count,potency_upper_limit,potency_lower_limit,potency_unit,date_added
Misasi22,B1-182.1,S:614G,Figure 1A,Pseudovirus (lentivirus),NC50,10.0,1,67000,10,ng/ml,2022-08-02
Misasi22,COV2-2196,S:614G,Figure 1A,Pseudovirus (lentivirus),NC50,9.8,1,67000,10,ng/ml,2022-08-02
Misasi22,CB6,S:614G,Figure 1A,Pseudovirus (lentivirus),NC50,155,1,67000,10,ng/ml,2022-08-02
Misasi22,REGN10933,S:614G,Figure 1A,Pseudovirus (lentivirus),NC50,35.1,1,67000,10,ng/ml,2022-08-02
Misasi22,CT-P59,S:614G,Figure 1A,Pseudovirus (lentivirus),NC50,18.8,1,67000,10,ng/ml,2022-08-02
Misasi22,A19-46.1,S:614G,Figure 1A,Pseudovirus (lentivirus),NC50,86.3,1,67000,10,ng/ml,2022-08-02
Misasi22,LY-COV555,S:614G,Figure 1A,Pseudovirus (lentivirus),NC50,18.9,1,67000,10,ng/ml,2022-08-02
Misasi22,A19-61.1,S:614G,Figure 1A,Pseudovirus (lentivirus),NC50,52.8,1,67000,10,ng/ml,2022-08-02
Misasi22,REGN10987,S:614G,Figure 1A,Pseudovirus (lentivirus),NC50,71.8,1,67000,10,ng/ml,2022-08-02
Misasi22,COV2-2130,S:614G,Figure 1A,Pseudovirus (lentivirus),NC50,30.8,1,67000,10,ng/ml,2022-08-02
Misasi22,S309,S:614G,Figure 1A,Pseudovirus (lentivirus),NC50,564,1,67000,10,ng/ml,2022-08-02
Misasi22,LY-CoV1404,S:614G,Figure 1A,Pseudovirus (lentivirus),NC50,21.7,1,67000,10,ng/ml,2022-08-02
Misasi22,B1-182.1,S:614G,Figure 1A,Pseudovirus (lentivirus),NC80,39.5,1,67000,10,ng/ml,2022-08-02
Misasi22,COV2-2196,S:614G,Figure 1A,Pseudovirus (lentivirus),NC80,23.8,1,67000,10,ng/ml,2022-08-02
Misasi22,CB6,S:614G,Figure 1A,Pseudovirus (lentivirus),NC80,576,1,67000,10,ng/ml,2022-08-02
Misasi22,REGN10933,S:614G,Figure 1A,Pseudovirus (lentivirus),NC80,70.3,1,67000,10,ng/ml,2022-08-02
Misasi22,CT-P59,S:614G,Figure 1A,Pseudovirus (lentivirus),NC80,42.3,1,67000,10,ng/ml,2022-08-02
Misasi22,A19-46.1,S:614G,Figure 1A,Pseudovirus (lentivirus),NC80,244,1,67000,10,ng/ml,2022-08-02
Misasi22,LY-COV555,S:614G,Figure 1A,Pseudovirus (lentivirus),NC80,121,1,67000,10,ng/ml,2022-08-02
Misasi22,A19-61.1,S:614G,Figure 1A,Pseudovirus (lentivirus),NC80,125,1,67000,10,ng/ml,2022-08-02
Misasi22,REGN10987,S:614G,Figure 1A,Pseudovirus (lentivirus),NC80,374,1,67000,10,ng/ml,2022-08-02
Misasi22,COV2-2130,S:614G,Figure 1A,Pseudovirus (lentivirus),NC80,79.7,1,67000,10,ng/ml,2022-08-02
Misasi22,S309,S:614G,Figure 1A,Pseudovirus (lentivirus),NC80,2017,1,67000,10,ng/ml,2022-08-02
Misasi22,LY-CoV1404,S:614G,Figure 1A,Pseudovirus (lentivirus),NC80,43.7,1,67000,10,ng/ml,2022-08-02
Misasi22,B1-182.1,B.1.351 Spike:-246I,Figure 1A,Pseudovirus (lentivirus),NC50,30.9,1,67000,10,ng/ml,2022-08-02
Misasi22,COV2-2196,B.1.351 Spike:-246I,Figure 1A,Pseudovirus (lentivirus),NC50,53.7,1,67000,10,ng/ml,2022-08-02
Misasi22,CB6,B.1.351 Spike:-246I,Figure 1A,Pseudovirus (lentivirus),NC50,67000,1,67000,10,ng/ml,2022-08-02
Misasi22,REGN10933,B.1.351 Spike:-246I,Figure 1A,Pseudovirus (lentivirus),NC50,1169,1,67000,10,ng/ml,2022-08-02
Misasi22,CT-P59,B.1.351 Spike:-246I,Figure 1A,Pseudovirus (lentivirus),NC50,647,1,67000,10,ng/ml,2022-08-02
Misasi22,A19-46.1,B.1.351 Spike:-246I,Figure 1A,Pseudovirus (lentivirus),NC50,391,1,67000,10,ng/ml,2022-08-02
Misasi22,LY-COV555,B.1.351 Spike:-246I,Figure 1A,Pseudovirus (lentivirus),NC50,67000,1,67000,10,ng/ml,2022-08-02
Misasi22,A19-61.1,B.1.351 Spike:-246I,Figure 1A,Pseudovirus (lentivirus),NC50,108,1,67000,10,ng/ml,2022-08-02
Misasi22,REGN10987,B.1.351 Spike:-246I,Figure 1A,Pseudovirus (lentivirus),NC50,147,1,67000,10,ng/ml,2022-08-02
Misasi22,COV2-2130,B.1.351 Spike:-246I,Figure 1A,Pseudovirus (lentivirus),NC50,33.0,1,67000,10,ng/ml,2022-08-02
Misasi22,S309,B.1.351 Spike:-246I,Figure 1A,Pseudovirus (lentivirus),NC50,356,1,67000,10,ng/ml,2022-08-02
Misasi22,LY-CoV1404,B.1.351 Spike:-246I,Figure 1A,Pseudovirus (lentivirus),NC50,51.4,1,67000,10,ng/ml,2022-08-02
Misasi22,B1-182.1,B.1.351 Spike:-246I,Figure 1A,Pseudovirus (lentivirus),NC80,107,1,67000,10,ng/ml,2022-08-02
Misasi22,COV2-2196,B.1.351 Spike:-246I,Figure 1A,Pseudovirus (lentivirus),NC80,149,1,67000,10,ng/ml,2022-08-02
Misasi22,CB6,B.1.351 Spike:-246I,Figure 1A,Pseudovirus (lentivirus),NC80,67000,1,67000,10,ng/ml,2022-08-02
Misasi22,REGN10933,B.1.351 Spike:-246I,Figure 1A,Pseudovirus (lentivirus),NC80,6867,1,67000,10,ng/ml,2022-08-02
Misasi22,CT-P59,B.1.351 Spike:-246I,Figure 1A,Pseudovirus (lentivirus),NC80,2375,1,67000,10,ng/ml,2022-08-02
Misasi22,A19-46.1,B.1.351 Spike:-246I,Figure 1A,Pseudovirus (lentivirus),NC80,1476,1,67000,10,ng/ml,2022-08-02
Misasi22,LY-COV555,B.1.351 Spike:-246I,Figure 1A,Pseudovirus (lentivirus),NC80,67000,1,67000,10,ng/ml,2022-08-02
Misasi22,A19-61.1,B.1.351 Spike:-246I,Figure 1A,Pseudovirus (lentivirus),NC80,118,1,67000,10,ng/ml,2022-08-02
Misasi22,REGN10987,B.1.351 Spike:-246I,Figure 1A,Pseudovirus (lentivirus),NC80,530,1,67000,10,ng/ml,2022-08-02
Misasi22,COV2-2130,B.1.351 Spike:-246I,Figure 1A,Pseudovirus (lentivirus),NC80,116,1,67000,10,ng/ml,2022-08-02
Misasi22,S309,B.1.351 Spike:-246I,Figure 1A,Pseudovirus (lentivirus),NC80,2011,1,67000,10,ng/ml,2022-08-02
Misasi22,LY-CoV1404,B.1.351 Spike:-246I,Figure 1A,Pseudovirus (lentivirus),NC80,106,1,67000,10,ng/ml,2022-08-02
Misasi22,B1-182.1,B.1.617.2 Spike:+142D,Figure 1A,Pseudovirus (lentivirus),NC50,10.0,1,67000,10,ng/ml,2022-08-02
Misasi22,COV2-2196,B.1.617.2 Spike:+142D,Figure 1A,Pseudovirus (lentivirus),NC50,6.8,1,67000,10,ng/ml,2022-08-02
Misasi22,CB6,B.1.617.2 Spike:+142D,Figure 1A,Pseudovirus (lentivirus),NC50,67.7,1,67000,10,ng/ml,2022-08-02
Misasi22,REGN10933,B.1.617.2 Spike:+142D,Figure 1A,Pseudovirus (lentivirus),NC50,36.7,1,67000,10,ng/ml,2022-08-02
Misasi22,CT-P59,B.1.617.2 Spike:+142D,Figure 1A,Pseudovirus (lentivirus),NC50,110,1,67000,10,ng/ml,2022-08-02
