ref_name,rx_name,iso_name,section,assay_name,potency_type,potency,cumulative_count,potency_upper_limit,potency_lower_limit,potency_unit,date_added
Wang23c,mRNA_monovalent_3dose,B.1 Spike,Figure 4A,Pseudovirus (VSV),NT50,9414,10,100000,100,NULL,2023-04-06
Wang23c,mRNA_monovalent_3dose,BA.4/5 Spike,Figure 4A,Pseudovirus (VSV),NT50,711,10,100000,100,NULL,2023-04-06
Wang23c,mRNA_monovalent_3dose,BA.2.75 Spike,Figure 4A,Pseudovirus (VSV),NT50,1260,10,100000,100,NULL,2023-04-06
Wang23c,mRNA_monovalent_3dose,BL.1 Spike,Figure 4A,Pseudovirus (VSV),NT50,496,10,100000,100,NULL,2023-04-06
Wang23c,mRNA_monovalent_3dose,BA.2.75 Spike:+F486S,Figure 4A,Pseudovirus (VSV),NT50,360,10,100000,100,NULL,2023-04-06
Wang23c,mRNA_monovalent_3dose,BA.2.75 Spike:+R346T+F486S,Figure 4A,Pseudovirus (VSV),NT50,241,10,100000,100,NULL,2023-04-06
Wang23c,mRNA_monovalent_3dose,BN.1 Spike,Figure 4A,Pseudovirus (VSV),NT50,565,10,100000,100,NULL,2023-04-06
Wang23c,mRNA_monovalent_3dose,BA.2.75 Spike:R346T+K444T+F486S,Figure 4A,Pseudovirus (VSV),NT50,138,10,100000,100,NULL,2023-04-06
Wang23c,mRNA_monovalent_3dose,CH.1.1 Spike,Figure 4A,Pseudovirus (VSV),NT50,106,10,100000,100,NULL,2023-04-06
Wang23c,mRNA_monovalent_3dose,BA.2.75 Spike:R346T+K356T+R403K+F486S+F490S,Figure 4A,Pseudovirus (VSV),NT50,119,10,100000,100,NULL,2023-04-06
Wang23c,mRNA_monovalent_3dose,XBB.1.5 Spike,Figure 4A,Pseudovirus (VSV),NT50,115,10,100000,100,NULL,2023-04-06
Wang23c,mRNA_monovalent_3dose,BA.2.75 Spike:D574V,Figure 4A,Pseudovirus (VSV),NT50,676,10,100000,100,NULL,2023-04-06
