ref_name,subject_name,rx_name,collection_date_cmp,collection_date,location,cumulative_group,section
Corbett21,mRNA_macaques,mRNA_100ug_2_1,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_2,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_3,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_4,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_5,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_6,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_7,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_8,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_1,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_2,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_3,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_4,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_5,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_6,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_7,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_8,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_1,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_2,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_3,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_4,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_5,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_6,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_7,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_8,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_9,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_10,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_11,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_12,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_13,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_14,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_15,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_16,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_9,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_10,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_11,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_12,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_13,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_14,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_15,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_16,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_9,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_10,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_11,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_12,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_13,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_14,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_15,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_16,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_17,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_18,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_19,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_20,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_21,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_22,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_23,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_100ug_2_24,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_17,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_18,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_19,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_20,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_21,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_22,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_23,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_2_24,~,2021-04-30,USA,MOD,NULL
Corbett21,mRNA_macaques,mRNA_30ug_1_17,~,2021-04-30,USA,MOD,NULL
