ref_name,rx_name,iso_name,section,assay_name,potency_type,potency,cumulative_count,potency_upper_limit,potency_lower_limit,potency_unit,date_added
Roe23,Tixagevimab,B.1 Spike,Supplemental Table 1,Pseudovirus (lentivirus),IC50,1.0,1,40500,1,ng/ml,2023-03-13
Roe23,Cilgavimab,B.1 Spike,Supplemental Table 1,Pseudovirus (lentivirus),IC50,2.1,1,40500,1,ng/ml,2023-03-13
Roe23,AZD7442,B.1 Spike,Supplemental Table 1,Pseudovirus (lentivirus),IC50,1.5,1,40500,1,ng/ml,2023-03-13
Roe23,Tixagevimab,BA.1 Spike,Supplemental Table 1,Pseudovirus (lentivirus),IC50,3137.5,1,40500,1,ng/ml,2023-03-13
Roe23,Cilgavimab,BA.1 Spike,Supplemental Table 1,Pseudovirus (lentivirus),IC50,4712.8,1,40500,1,ng/ml,2023-03-13
Roe23,AZD7442,BA.1 Spike,Supplemental Table 1,Pseudovirus (lentivirus),IC50,389.2,1,40500,1,ng/ml,2023-03-13
Roe23,Tixagevimab,BA.1.1 Spike,Supplemental Table 1,Pseudovirus (lentivirus),IC50,2496.1,1,40500,1,ng/ml,2023-03-13
Roe23,Cilgavimab,BA.1.1 Spike,Supplemental Table 1,Pseudovirus (lentivirus),IC50,40500,1,40500,1,ng/ml,2023-03-13
Roe23,AZD7442,BA.1.1 Spike,Supplemental Table 1,Pseudovirus (lentivirus),IC50,2249.1,1,40500,1,ng/ml,2023-03-13
Roe23,Tixagevimab,BA.2 Spike,Supplemental Table 1,Pseudovirus (lentivirus),IC50,15150.6,1,40500,1,ng/ml,2023-03-13
Roe23,Cilgavimab,BA.2 Spike,Supplemental Table 1,Pseudovirus (lentivirus),IC50,1.8,1,40500,1,ng/ml,2023-03-13
Roe23,AZD7442,BA.2 Spike,Supplemental Table 1,Pseudovirus (lentivirus),IC50,3.5,1,40500,1,ng/ml,2023-03-13
Roe23,Tixagevimab,BA.2.12.1 Spike,Supplemental Table 1,Pseudovirus (lentivirus),IC50,2786.4,1,40500,1,ng/ml,2023-03-13
Roe23,Cilgavimab,BA.2.12.1 Spike,Supplemental Table 1,Pseudovirus (lentivirus),IC50,4.2,1,40500,1,ng/ml,2023-03-13
Roe23,AZD7442,BA.2.12.1 Spike,Supplemental Table 1,Pseudovirus (lentivirus),IC50,9.8,1,40500,1,ng/ml,2023-03-13
Roe23,Tixagevimab,BA.2.75 Spike,Supplemental Table 1,Pseudovirus (lentivirus),IC50,10.6,1,40500,1,ng/ml,2023-03-13
Roe23,Cilgavimab,BA.2.75 Spike,Supplemental Table 1,Pseudovirus (lentivirus),IC50,72.7,1,40500,1,ng/ml,2023-03-13
Roe23,AZD7442,BA.2.75 Spike,Supplemental Table 1,Pseudovirus (lentivirus),IC50,10.6,1,40500,1,ng/ml,2023-03-13
Roe23,Tixagevimab,BA.4/5 Spike,Supplemental Table 1,Pseudovirus (lentivirus),IC50,40500,1,40500,1,ng/ml,2023-03-13
Roe23,Cilgavimab,BA.4/5 Spike,Supplemental Table 1,Pseudovirus (lentivirus),IC50,52.3,1,40500,1,ng/ml,2023-03-13
Roe23,AZD7442,BA.4/5 Spike,Supplemental Table 1,Pseudovirus (lentivirus),IC50,128.9,1,40500,1,ng/ml,2023-03-13
Roe23,Tixagevimab,BA.1 Spike:S371F,Supplemental Table 2,Pseudovirus (lentivirus),IC50,7490.4,1,40500,1,ng/ml,2023-03-13
Roe23,Cilgavimab,BA.1 Spike:S371F,Supplemental Table 2,Pseudovirus (lentivirus),IC50,5130.3,1,40500,1,ng/ml,2023-03-13
Roe23,AZD7442,BA.1 Spike:S371F,Supplemental Table 2,Pseudovirus (lentivirus),IC50,602.8,1,40500,1,ng/ml,2023-03-13
Roe23,Tixagevimab,BA.1 Spike:T376A,Supplemental Table 2,Pseudovirus (lentivirus),IC50,10649.7,1,40500,1,ng/ml,2023-03-13
Roe23,Cilgavimab,BA.1 Spike:T376A,Supplemental Table 2,Pseudovirus (lentivirus),IC50,4919.4,1,40500,1,ng/ml,2023-03-13
Roe23,AZD7442,BA.1 Spike:T376A,Supplemental Table 2,Pseudovirus (lentivirus),IC50,790.3,1,40500,1,ng/ml,2023-03-13
Roe23,Tixagevimab,BA.1 Spike:D405N,Supplemental Table 2,Pseudovirus (lentivirus),IC50,40500,1,40500,1,ng/ml,2023-03-13
Roe23,Cilgavimab,BA.1 Spike:D405N,Supplemental Table 2,Pseudovirus (lentivirus),IC50,64.5,1,40500,1,ng/ml,2023-03-13
Roe23,AZD7442,BA.1 Spike:D405N,Supplemental Table 2,Pseudovirus (lentivirus),IC50,133.7,1,40500,1,ng/ml,2023-03-13
Roe23,Tixagevimab,BA.1 Spike:R408S,Supplemental Table 2,Pseudovirus (lentivirus),IC50,1092.8,1,40500,1,ng/ml,2023-03-13
Roe23,Cilgavimab,BA.1 Spike:R408S,Supplemental Table 2,Pseudovirus (lentivirus),IC50,1475.6,1,40500,1,ng/ml,2023-03-13
Roe23,AZD7442,BA.1 Spike:R408S,Supplemental Table 2,Pseudovirus (lentivirus),IC50,214.7,1,40500,1,ng/ml,2023-03-13
Roe23,Tixagevimab,BA.1 Spike:-G446S,Supplemental Table 2,Pseudovirus (lentivirus),IC50,2890.8,1,40500,1,ng/ml,2023-03-13
Roe23,Cilgavimab,BA.1 Spike:-G446S,Supplemental Table 2,Pseudovirus (lentivirus),IC50,9.0,1,40500,1,ng/ml,2023-03-13
Roe23,AZD7442,BA.1 Spike:-G446S,Supplemental Table 2,Pseudovirus (lentivirus),IC50,20.0,1,40500,1,ng/ml,2023-03-13
Roe23,Tixagevimab,BA.1 Spike:-Q493R,Supplemental Table 2,Pseudovirus (lentivirus),IC50,12.6,1,40500,1,ng/ml,2023-03-13
Roe23,Cilgavimab,BA.1 Spike:-Q493R,Supplemental Table 2,Pseudovirus (lentivirus),IC50,16393.1,1,40500,1,ng/ml,2023-03-13
Roe23,AZD7442,BA.1 Spike:-Q493R,Supplemental Table 2,Pseudovirus (lentivirus),IC50,20.1,1,40500,1,ng/ml,2023-03-13
Roe23,Tixagevimab,BA.1 Spike:-496S,Supplemental Table 2,Pseudovirus (lentivirus),IC50,3112.4,1,40500,1,ng/ml,2023-03-13
Roe23,Cilgavimab,BA.1 Spike:-496S,Supplemental Table 2,Pseudovirus (lentivirus),IC50,134.8,1,40500,1,ng/ml,2023-03-13
Roe23,AZD7442,BA.1 Spike:-496S,Supplemental Table 2,Pseudovirus (lentivirus),IC50,142.5,1,40500,1,ng/ml,2023-03-13
Roe23,Tixagevimab,BA.1 Spike:-G446S-Q493R,Supplemental Table 2,Pseudovirus (lentivirus),IC50,11.5,1,40500,1,ng/ml,2023-03-13
Roe23,Cilgavimab,BA.1 Spike:-G446S-Q493R,Supplemental Table 2,Pseudovirus (lentivirus),IC50,34.5,1,40500,1,ng/ml,2023-03-13
Roe23,AZD7442,BA.1 Spike:-G446S-Q493R,Supplemental Table 2,Pseudovirus (lentivirus),IC50,8.2,1,40500,1,ng/ml,2023-03-13
Roe23,Tixagevimab,BA.2 Spike:-Q493R,Supplemental Table 2,Pseudovirus (lentivirus),IC50,16.1,1,40500,1,ng/ml,2023-03-13
Roe23,Cilgavimab,BA.2 Spike:-Q493R,Supplemental Table 2,Pseudovirus (lentivirus),IC50,2.3,1,40500,1,ng/ml,2023-03-13
Roe23,AZD7442,BA.2 Spike:-Q493R,Supplemental Table 2,Pseudovirus (lentivirus),IC50,4.4,1,40500,1,ng/ml,2023-03-13
